key_id,key_bits,overall_passed,frequency_passed,run_count_passed,run_L1_passed,template_4_1_passed,template_4_2_passed,template_4_3_passed,template_4_4_passed,linear_complexity_passed,blind_spot_complexity_passed,frequency,run_count,run_L1,template_4_1,template_4_2,template_4_3,template_4_4,linear_complexity,blind_spot_complexity
1,10001011101010101000101001101110011000010101100100011001110000100110101010101111011100011011110011111111100010001010000110010101,True,True,True,True,True,True,True,True,True,True,65,71,41,3,14,8,9,65,64
2,01110001101101110001111111101011010001101101011100011110001010011111000111100000100010011001100101110001101011111110001100011100,True,True,True,True,True,True,True,True,True,True,70,57,22,2,5,4,11,64,63
3,10101011111110111011011110101111011100100010111110000111111100110011001011111000001001001010110111100111100010110101111010100010,True,True,True,True,True,True,True,True,True,True,76,64,36,3,10,8,5,65,65
4,01110101000011100011101110000000001100111111001110010110101100011100000001000101010010101110010011011100101010101100011000000010,True,True,True,True,True,True,True,True,True,True,58,63,33,15,11,7,8,64,66
5,01011111101110000000000001000101000101001100110111011010101110110110010001110110011010111100100111100101000011011000001101000100,True,True,True,True,True,True,True,True,True,True,61,65,33,12,7,7,7,65,64
6,00000001001000011010010000011100001011001000000110010000100000101101111001011010010000111001100011010101111101010001100110011010,True,True,True,True,True,True,True,True,True,True,52,63,30,15,6,10,10,64,64
7,10010010101011001101111111010100010011100111101001110001110110101010010000000001100110101100101110101001101110001011111111110001,True,True,True,True,True,True,True,True,True,True,69,67,37,6,10,6,5,65,66
8,01110010001000010010010000110010001000100111111111110000100111111110100011010001111011100001111001111000011000000101000110001001,True,True,True,True,True,True,True,True,True,True,60,52,20,8,1,11,13,65,64
9,10010100000010011111011011010100100101000010011100100110001111101111010001010100010000011010101100100111110000001110010111110111,True,True,True,True,True,True,True,True,True,True,63,65,35,9,8,10,7,66,64
10,01001001001011011101001010111101100010101110110101010110100010001000101001000010011001101001111000111100100010010101001111011101,True,True,True,True,True,True,True,True,True,True,63,78,47,1,11,13,7,65,65
11,01111100100111011110000100000010010001100001011110100001111101001101100011011101111001110010001110101000101001011100001010110101,True,True,True,True,True,True,True,True,True,True,64,64,33,7,7,9,9,64,64
12,01100111000100000011110001101110101001010001111100010001000010000011101001010111101011101010001001111100010000011101000001110111,True,True,True,True,True,True,True,True,True,True,60,60,31,10,6,8,12,65,64
13,01110001010100110101111010000011000100000111101100011000101011011110101000010100101101111000111111011101110000010101011000111101,True,True,True,True,True,True,True,True,True,True,66,66,38,7,11,6,10,64,65
14,11111001000001011101111011111100010001011000100100101101000100100100000100100010111101010000000000011101101101001000111010000101,True,True,True,True,True,True,True,True,True,True,57,63,35,13,6,15,10,64,65
15,10011111001011010000000100101110110111000111101110010111000110011000010001101111110011000110010000110101001110011100111001111111,True,True,True,True,True,True,True,True,True,True,69,57,20,6,4,6,7,64,64
16,01001100110001110110101010111101110000000001111011111101101011100011011010011111011101110001110110111010101111100000100000000111,True,True,True,True,True,True,True,True,True,True,71,58,29,13,6,1,6,64,65
17,00010011000010011001011000111110101001011001011111011101001111101010110001110100001010100011110011000100101110100000011000000011,True,True,True,True,True,True,True,True,True,True,61,64,32,9,9,8,9,64,65
18,00001000110011110011110101010110001000100001110101001110100010000010101011110001011001001000000100111000100011001101010110101101,True,True,True,True,True,True,True,True,True,True,57,70,39,7,11,10,11,65,65
19,10010001010110110000001011010000100100011010111101010011010110011001011001010010100001011010000110000001000111010100011011010101,True,True,True,True,True,True,True,True,True,True,56,77,47,9,13,10,9,62,65
