key_id,key_bits,overall_passed,frequency_passed,run_count_passed,run_L1_passed,template_4_1_passed,template_4_2_passed,template_4_3_passed,template_4_4_passed,linear_complexity_passed,blind_spot_complexity_passed,frequency,run_count,run_L1,template_4_1,template_4_2,template_4_3,template_4_4,linear_complexity,blind_spot_complexity
1,01100010100100011111010111010000010001011101001110101011010100101100101100110111000101100111010001000111111011010110001000101100101111110100011110111101000110111110101110011100010101001111000001101000110001001101100111100001101000001010100111111111010101100100010000011000011111010110011111110111101000011111001100000101100110111001111111011010011111110110001101010010011110111101001011000000100001100111001111011110001100010100100010110011010111111110000001001100011100100011001000100100111000101111011100010001,True,True,True,True,True,True,True,True,True,True,268,248,119,20,27,30,35,255,256
2,11101110011111011101001010111100101010001100111100101111101010111111001101101100010101001001011011000011000111111110010011110000100100000011110101010101110110000010011100111011101011101011110010110110001101111001011010110111001100111110110101010010110101101000001111011111111100110100101010010000010100010011100100100100010100111010100110100010101011000110001111010110001111101010000110111000010111101110010001001111010111110001010000111101011111101101110110100010111001100111100000001001111000110100110001101110,True,True,True,True,True,True,True,True,True,True,278,266,141,18,38,28,25,256,256
3,00000000001011110000101110001100100001101010100110101100010001010000110111000001110011101101010001100100110010011111101111110110010111101100000000011001010001111000011011011011110111001000100100100101000000011000011010110100100111111000111011000100001111101100010001101011000110100100011101010100001011010101000010011111010110000100011110100010010101110011011010001011100101001000100110101010110111101000010000010100010000100110001001000001001111101111000111110100001100011001001110010010000011001001011110111111,True,True,True,True,True,True,True,True,True,True,239,254,126,37,27,39,39,257,256
4,01001111110010110001100100101111011111010000101111011110100100101011101001100000110100011011010011011010100011001000100111101111100111100100111011110110011011010110011011100000110010110011011011101011100101111101100000000110010010001100000000010110100001010101110110010001001111111101011111010011000111001100011010110101100000000010101111101110110110100011001100110110100110000111011001111111000010011100101111001010000000100000110000101010001010010101101111110011011000001010000100110011001000001101011000100111,True,True,True,True,True,True,True,True,True,True,258,256,122,37,28,29,26,257,256
5,00000101100011111010110110000000001100010000100111001000010111010100011010100110011011000111100011010101000110111111010111010001110101010111111100111011100011110000001010010001011110010110000101001100000110100000011111111101010111110100001001110011011001100001000010111101000111110010111101111001010000010111000100110111100111100011110001011011000001001100101101110101111110111110110001010011101101101101111111001100010011101001011110100100110000011010010000000111110100001110101110111000110001000111111110010100,True,True,True,True,True,True,True,True,True,True,264,241,117,33,28,27,34,255,255
6,01001101001010101010000101010101001111010111000011110000101001000001011010010010011101001100001101001100110010010100001001110000101110011101011001101111111110011011101010001010100011100011101010010000111111101101101010000110101010110101011011111011000000011010101111011001000101111110101010101101011001100101110101000110110100001001001100101000100001101101101010100101001111101101000101000111100011101011101111100011100011100011110010011010111001001111101111001110100001001100010101010000101111100111010001110010,True,True,True,True,True,True,True,True,True,True,262,285,164,18,45,28,28,255,257
7,11111010101010010000001001000111100110101100101100001111111001101010011000000111010000110100101101110110111010001101010110111110101010000110001001010001100110001111111001110111000111101011010010011011110000000011011101100000110011011110010000101011101110101001010101101110110011001111100111011010000100110100010010100110111011011011011000010010110000100110010011111011010001101001011110000010001101001101111101000100110101011000010001010100110011110110100000001101110100011101001100000110100011101011011010110011,True,True,True,True,True,True,True,True,True,True,260,271,138,29,28,23,28,256,257
8,11101110100100111110010001100010001011011000101100000011100101011100101101000011100001010110110001011011000100001001111101001011101110111010111111011001000100001000001101011100110011000011000010101010111000111010010100110011000010000000100100100100110001100111001111011001010110010010000001001100111100111010000010110110010000100000101111110000000111001111011100100011010101111101101110010101000001010001111000001111011001001001101000000110011010001101001001100000010010111101001011001110110010001100001110010111,True,True,True,True,True,True,True,True,True,True,240,255,118,39,28,41,33,257,256
9,00000011111011111010000011101000010101100011001111000101010100011010010000011110000000001100010000100010101011101001001110110010011100110111111000001101111100011101111111111010011101100001010101011100010011101000101111101101001011010110000000111010011100011111011111100111001000111110000100000011011101010010110011010111001111111001000001100011000111101110110010010111001010100001001101000011000011101011110100101101000000010111101110010010111000001110000000001001000110101111101100111110110010111110110110000110,True,True,True,True,True,True,True,True,True,True,258,237,115,44,27,27,32,256,257
10,11010100111000000111111000000111101001011110000101111010111001100010100111100001111111000101100100000101101101011000010111101111000111001101111010000010100110001010101110000000111000100110011100101111110101101100000100111111001001000111101101000111101001111110000001110101011110001000001100001101001100001101001110011011000101100000000010100101000100110100111101100000110011101011011000110011001111110110101001101101001111011100001000111010011100110100111000011011010010001111010001001111000000000110011001110011,True,True,True,True,True,True,True,True,True,True,255,237,103,42,22,22,32,257,257
